10.2307/4108085	1965	THE EXPERIMENTAL TAXONOMY OF THE WEST AFRICAN SPECIES OF PANCRATIUM L. (AMARYLLIDACEAE)	KEW BULLETIN
10.2307/2805306	1964	THE GENUS GAYOPHYTUM (ONAGRACEAE)	BRITTONIA
10.2307/1709733	1962	BOTANICAL CLASSIFICATION	SCIENCE
10.2307/1716413	1965	CURRENT RESEARCH IN ECOLOGY	SCIENCE
10.2307/1716412	1965	LUCKNOW SYMPOSIUM ON PALYNOLOGY: 1964	SCIENCE
10.2307/2406420	1964	POPULATION STUDIES ON LEAD-TOLERANT AGROSTIS TENUIS	EVOLUTION
10.2307/1217770	1964	THE UNITY AND THE ACTUAL NEEDS OF PLANT TAXONOMY	TAXON
10.2307/4115601	1962	ASPLENIUM AFFINE SW. AND A. SPATHULINUM J. SM. EX HOOK	KEW BULLETIN
10.2307/2472964	1963	THE GENUS COLLINSIA. XXI. A PAPER CHROMATOGRAPHIC STUDY OF ROOT EXTRACTS FROM FIFTEEN SPECIES AND SIX INTERSPECIFIC HYBRIDS	BOTANICAL GAZETTE
10.2307/1217218	1962	AN APPROACH TO AN ANALYSIS OF TAXONOMIC METHOD WITH MAIN REFERENCE TO HIGHER FUNGI	TAXON
10.2307/4108280	1964	VOLUME INFORMATION	KEW BULLETIN
10.2307/20165665	1965	SUMMARY REPORT OF THE ECOLOGY STUDY COMMITTEE WITH RECOMMENDATIONS FOR THE FUTURE OF ECOLOGY AND THE ECOLOGICAL SOCIETY OF AMERICA	BULLETIN OF THE ECOLOGICAL SOCIETY OF AMERICA
10.2307/1933018	1963	ECOTYPIC VARIATION IN PINUS STROBUS L.	ECOLOGY
10.2307/3240554	1961	NEWS AND NOTES	THE BRYOLOGIST
10.2307/1216180	1963	SOME REMARKS ON WOOD'S REVISION OF CHARACEAE	TAXON
10.2307/2429374	1964	SOME EVIDENCE OF POPULATION DIFFERENTIATION IN RUBUS IDAEUS L.	NEW PHYTOLOGIST
10.2307/2401313	1964	THE EARLY EFFECTS OF EXCLUDING SHEEP FROM HIGH-LEVEL GRASSLANDS IN THE NORTH PENNINES	JOURNAL OF APPLIED ECOLOGY
10.2307/1292994	1962	SOME OPPORTUNITIES AND CHALLENGES IN THE PLANT SCIENCES	AIBS BULLETIN
10.2307/41423180	1965	TRANSLOCATION HETEROZYGOSITY IN CROTON CALIFORNICUS	MADRONO
10.2307/2429892	1962	None	NEW PHYTOLOGIST
10.2307/2429891	1962	CYTOTAXONOMIC STUDIES IN HOLCUS. II. MORPHOLOGICAL RELATIONSHIPS IN HOLCUS MOLLIS L.	NEW PHYTOLOGIST
10.2307/4115510	1964	THE GENUS UTRICULARIA L. (LENTIBULARIACEAE) IN AFRICA (SOUTH OF THE SAHARA) AND MADAGASCAR	KEW BULLETIN
10.2307/2257243	1961	BACK MATTER	JOURNAL OF ECOLOGY
10.2307/1216308	1964	THE BIOLOGICAL SPECIES CONCEPT AND ITS EVOLUTIONARY STRUCTURE	TAXON
10.2307/27838980	1964	FRONT MATTER	AMERICAN SCIENTIST
10.2307/1292603	1961	THE STUDY OF VEGETATION IN EUROPE	AIBS BULLETIN
10.2307/2406286	1962	INTERSPECIFIC HYBRIDIZATION IN THE RANUNCULUS LAPPACEUS GROUP	EVOLUTION
10.2307/1217806	1961	INTERNATIONAL ORGANIZATION OF BIOSYSTEMATISTS	TAXON
10.2307/1217807	1961	A WRONG EXAMPLE IN ARTICLE 62 OF THE INTERNATIONAL CODE OF BOTANICAL NOMENCLATURE, 1956	TAXON
10.2307/2805250	1962	PERSOON AND THE SUBSPECIES	BRITTONIA
10.2307/2439770	1965	BACK MATTER	AMERICAN JOURNAL OF BOTANY
10.2307/1217247	1965	ADDRESS OF OUTGOING PRESIDENT IOPB	TAXON
10.2307/1217249	1965	INTERNATIONAL ORGANIZATION OF PLANT BIOSYSTEMATISTS: CONSTITUTION	TAXON
10.2307/2406194	1962	THE GENETIC SYSTEM OF CULTIVATED DIPLOID POTATOES	EVOLUTION
10.2307/23305919	1962	CHANGE OF EDITOR-IN-CHIEF	RHODORA
10.2307/3565089	1962	THE RELICT CONCEPT: IS IT A MERELY ZOOGEOGRAPHICAL CONCEPTION?	OIKOS
10.2307/1293117	1962	EDITORIAL: THE FUTURE OF BIOLOGY AND THE AIBS	AIBS BULLETIN
10.2307/1716859	1965	MONOGRAPHS IN EXPERIMENTAL BOTANY SERIES	SCIENCE
10.2307/3240708	1963	LICHENS	THE BRYOLOGIST
10.2307/2406403	1964	THE CONTROL OF INTERSPECIFIC HYBRIDIZATION IN DARWINIA	EVOLUTION
10.2307/2429542	1961	VOLUME INFORMATION	NEW PHYTOLOGIST
